id,name,category,alcoholic,instructions,ingredients
501,Quentin,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.","Dark rum, Kahlua, Light cream, Nutmeg"
502,Daiquiri,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.","Light rum, Lime, Powdered sugar"
503,Algonquin,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Blended whiskey, Dry Vermouth, Pineapple juice"
504,Mauresque,Cocktail,Alcoholic,"1 - Pour the Ricard (or pastis)
2 - Pour the orgeat syrup
3 - Finally pour the water and add ice cubes at your convenience.

Add the ice cubes at the end, otherwise the syrup and pastis do not mix well.","Ricard, Orgeat Syrup, Water"
505,"Queen Bee","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Coffee brandy, Lime vodka, Sherry"
506,Quick-sand,"Ordinary Drink",Alcoholic,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!","Black Sambuca, Orange juice"
507,"Gin Squirt","Ordinary Drink",Alcoholic,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.","Gin, Grenadine, Powdered sugar, Pineapple, Strawberries, Carbonated water"
508,Aquamarine,Cocktail,Alcoholic,"Shake well in a shaker with ice.
Strain in a martini glass.","Hpnotiq, Pineapple Juice, Banana Liqueur"
509,"Quick F**K",Shot,Alcoholic,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream","Kahlua, Midori melon liqueur, Baileys irish cream"
510,"Tequila Fizz","Ordinary Drink",Alcoholic,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.","Tequila, Lemon juice, Grenadine, Egg white, Ginger ale"
511,"Tequila Sour","Ordinary Drink",Alcoholic,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.","Tequila, Lemon, Powdered sugar, Lemon, Cherry"
512,"Kiss me Quick","Ordinary Drink",Alcoholic,"mix in the glass","Cranberry vodka, Apfelkorn, Schweppes Russchian, Apple juice, Ice"
513,"Coffee Liqueur","Homemade Liqueur",Alcoholic,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.","Coffee, Vanilla extract, Sugar, Vodka, Water"
514,"Banana Daiquiri","Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.","Light rum, Triple sec, Banana, Lime juice, Sugar, Cherry"
515,"Frozen Daiquiri","Ordinary Drink",Alcoholic,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.","Light rum, Triple sec, Lime juice, Sugar, Cherry, Ice"
516,"Queen Charlotte","Ordinary Drink",Alcoholic,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.","Red wine, Grenadine, Lemon-lime soda"
517,"Queen Elizabeth","Ordinary Drink",Alcoholic,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","Dry Vermouth, Gin, Benedictine"
518,"Tequila Slammer",Shot,Alcoholic,"Mix carefully to avoid releasing the dissolved CO2.","Tequila, 7-up"
519,"Tequila Sunrise",Cocktail,Alcoholic,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.","Tequila, Orange juice, Grenadine"
520,"Amaretto Liqueur","Homemade Liqueur",Alcoholic,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.","Sugar, Water, Apricot, Almond flavoring, Grain alcohol, Water, Brandy, Food coloring, Food coloring, Food coloring, Glycerine"
521,"Angelica Liqueur","Homemade Liqueur",Alcoholic,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.","Angelica root, Almond, Allspice, Cinnamon, Anise, Coriander, Marjoram leaves, Vodka, Sugar, Water, Food coloring, Food coloring"
522,"Tequila Surprise",Shot,Alcoholic,"Fill shot glass with Tequila. Add drops of Tobasco sauce.","Tequila, Tabasco sauce"
523,"Quaker's Cocktail","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Light rum, Brandy, Lemon, Raspberry syrup"
524,"National Aquarium","Ordinary Drink",Alcoholic,"Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.","Rum, Vodka, Gin, Blue Curacao, Sour mix, Lemon-lime soda"
525,"Strawberry Daiquiri","Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.","Strawberry schnapps, Light rum, Lime juice, Powdered sugar, Strawberries"
526,Kir,"Ordinary Drink",Alcoholic,"Add the crème de cassis to the bottom of the glass, then top up with wine.","Creme de Cassis, Champagne"
527,Rose,"Ordinary Drink",Alcoholic,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.","Dry Vermouth, Gin, Apricot brandy, Lemon juice, Grenadine, Powdered sugar"
528,Derby,"Ordinary Drink",Alcoholic,"Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.","gin, Peach Bitters, Mint"
529,Zorro,"Coffee / Tea",Alcoholic,"add all and pour black coffee and add whipped cream on top.","Sambuca, Baileys irish cream, White Creme de Menthe"
530,Karsk,"Ordinary Drink",Alcoholic,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","Coffee, Grain alcohol"
531,Affair,"Ordinary Drink",Alcoholic,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Strawberry schnapps, Orange juice, Cranberry juice, Club soda"
532,Orgasm,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
533,Frosé,Cocktail,Alcoholic,"Step 1
Pour rosé into a 13x9" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.","Rose, Sugar, Strawberries, Lemon Juice"
534,Victor,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Sweet Vermouth, Brandy"
535,Zinger,"Soft Drink",Alcoholic,"Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.","Peachtree schnapps, Surge"
536,Vesper,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.","Gin, Vodka, Lillet Blanc"
537,Radler,"Ordinary Drink",Alcoholic,"Pour beer into large mug, slowly add the 7-up (or Sprite).","Beer, 7-Up"
538,Spritz,"Ordinary Drink",Alcoholic,"Build into glass over ice, garnish and serve.","Prosecco, Campari, Soda Water"
539,Boxcar,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","Gin, Triple sec, Lemon juice, Grenadine, Egg white"
540,Veteran,"Ordinary Drink",Alcoholic,"Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.","Dark rum, Cherry brandy"
541,Sidecar,"Ordinary Drink",Alcoholic,"Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Cognac, Cointreau, Lemon juice"
542,Vampiro,"Ordinary Drink",Alcoholic,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first "rim" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt"
543,Zambeer,"Soft Drink",Alcoholic,"Mix sambuca with rootbeer and stir. Add ice","Sambuca, Root beer, Ice"
544,Scooter,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","Brandy, Amaretto, Light cream"
545,"Big Red",Shot,Alcoholic,"Pour ingredients into 1 ounce shot glass","Irish cream, Goldschlager"
546,Almeria,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Kahlua, Egg white"
547,Bramble,"Ordinary Drink",Alcoholic,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","Gin, lemon juice, Sugar syrup, Creme de Mure"
548,Stinger,"Ordinary Drink",Alcoholic,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Brandy, White Creme de Menthe"
549,Sazerac,"Ordinary Drink",Alcoholic,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel"
550,Martini,Cocktail,Alcoholic,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Gin, Dry Vermouth, Olive"
551,Smut,"Punch / Party Drink",Alcoholic,"Throw it all together and serve real cold.","Red wine, Peach schnapps, Pepsi Cola, Orange juice"
552,Rose,"Ordinary Drink",Alcoholic,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.","Dry Vermouth, Gin, Apricot brandy, Lemon juice, Grenadine, Powdered sugar"
553,Karsk,"Ordinary Drink",Alcoholic,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","Coffee, Grain alcohol"
554,Zoksel,"Soft Drink",Alcoholic,"No specific mixing instructions, just poor every ingredient in one glass. The lemon goes with it.","Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon"
555,Diesel,Beer,Alcoholic,"Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.","Lager, Cider, Blackcurrant cordial"
556,Mimosa,"Ordinary Drink",Alcoholic,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","Champagne, Orange juice"
557,Frosé,Cocktail,Alcoholic,"Step 1
Pour rosé into a 13x9" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.","Rose, Sugar, Strawberries, Lemon Juice"
558,Casino,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.","Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry"
559,Orgasm,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
560,Spritz,"Ordinary Drink",Alcoholic,"Build into glass over ice, garnish and serve.","Prosecco, Campari, Soda Water"
561,Vesper,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.","Gin, Vodka, Lillet Blanc"
562,Snowday,Cocktail,Alcoholic,"Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.","Vodka, Amaro Montenegro, Ruby Port, Blood Orange, Angostura Bitters, Orange Peel"
563,Sazerac,"Ordinary Drink",Alcoholic,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel"
564,Vesuvio,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white"
565,Sangria,"Punch / Party Drink",Alcoholic,"Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.","Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon"
566,Scooter,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","Brandy, Amaretto, Light cream"
567,Stinger,"Ordinary Drink",Alcoholic,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Brandy, White Creme de Menthe"
568,Addison,Cocktail,Alcoholic,"Shake together all the ingredients and strain into a cold glass.","Gin, Vermouth"
569,Sidecar,"Ordinary Drink",Alcoholic,"Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Cognac, Cointreau, Lemon juice"
570,Paradise,"Ordinary Drink",Alcoholic,"Shake together over ice. Strain into cocktail glass and serve chilled.","Gin, Apricot Brandy, Orange Juice"
571,Snowball,"Ordinary Drink",Alcoholic,"Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.","Advocaat, Lemonade, Lemon, Ice"
572,Shot-gun,Shot,Alcoholic,"Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.","Jim Beam, Jack Daniels, Wild Turkey"
573,"Gin Sour","Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Gin, Lemon juice, Sugar, Orange, Maraschino cherry"
574,"Rum Sour","Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Light rum, Lemon juice, Sugar, Orange, Maraschino cherry"
575,"Spice 75",Cocktail,Alcoholic,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.","Sugar, Allspice, Rum, Lime Juice, Champagne, Orange spiral"
576,AT&T,"Ordinary Drink",Alcoholic,"Pour Vodka and Gin over ice, add Tonic and Stir","Absolut Vodka, Gin, Tonic water"
577,Smut,"Punch / Party Drink",Alcoholic,"Throw it all together and serve real cold.","Red wine, Peach schnapps, Pepsi Cola, Orange juice"
578,Mojito,Cocktail,Alcoholic,"Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.","Light rum, Lime, Sugar, Mint, Soda water"
579,Victor,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Sweet Vermouth, Brandy"
580,Gimlet,Cocktail,Alcoholic,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime"
581,Spritz,"Ordinary Drink",Alcoholic,"Build into glass over ice, garnish and serve.","Prosecco, Campari, Soda Water"
582,Scooter,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","Brandy, Amaretto, Light cream"
583,Quentin,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.","Dark rum, Kahlua, Light cream, Nutmeg"
584,Martini,Cocktail,Alcoholic,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Gin, Dry Vermouth, Olive"
585,"Mai Tai","Ordinary Drink",Alcoholic,"Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.","Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry"
586,Veteran,"Ordinary Drink",Alcoholic,"Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.","Dark rum, Cherry brandy"
587,Stinger,"Ordinary Drink",Alcoholic,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Brandy, White Creme de Menthe"
588,Affinity,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters"
589,Shot-gun,Shot,Alcoholic,"Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.","Jim Beam, Jack Daniels, Wild Turkey"
590,Aviation,Cocktail,Alcoholic,"Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.","Gin, lemon juice, maraschino liqueur"
591,Thriller,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Scotch, Wine, Orange juice"
592,"Jam Donut",Shot,Alcoholic,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar"
593,Manhattan,Cocktail,Alcoholic,"Stirred over ice, strained into a chilled glass, garnished, and served up.","Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel"
594,"Salty Dog","Ordinary Drink",Alcoholic,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)","Grapefruit juice, Gin, Salt"
595,Artillery,"Ordinary Drink",Alcoholic,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","Sweet Vermouth, Gin, Bitters"
596,Jitterbug,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water"
597,Zorbatini,Cocktail,Alcoholic,"Prepare like a Martini. Garnish with a green olive.","Vodka, Ouzo"
598,Afterglow,Cocktail,"Non alcoholic","Mix. Serve over ice.","Grenadine, Orange juice, Pineapple juice"
599,"Rum Toddy","Ordinary Drink",Alcoholic,"Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.","Rum, Powdered sugar, Lemon peel, Water"
600,Tia-Maria,"Homemade Liqueur",Alcoholic,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.","Water, Brown sugar, Coffee, Rum, Vanilla extract"
601,Smut,"Punch / Party Drink",Alcoholic,"Throw it all together and serve real cold.","Red wine, Peach schnapps, Pepsi Cola, Orange juice"
602,Bijou,Cocktail,Alcoholic,"Stir in mixing glass with ice and strain
","Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth"
603,Quentin,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.","Dark rum, Kahlua, Light cream, Nutmeg"
604,Vesuvio,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white"
605,Daiquiri,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.","Light rum, Lime, Powdered sugar"
606,"Gin Sour","Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Gin, Lemon juice, Sugar, Orange, Maraschino cherry"
607,"Rum Sour","Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Light rum, Lemon juice, Sugar, Orange, Maraschino cherry"
608,Bluebird,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","Gin, Triple sec, Blue Curacao, Bitters, Maraschino cherry, Lemon peel"
609,"501 Blue","Ordinary Drink",Alcoholic,"Mix equal amounts into a glass with ice.","Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up"
610,Acapulco,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.","Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint"
611,Shot-gun,Shot,Alcoholic,"Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.","Jim Beam, Jack Daniels, Wild Turkey"
612,Buccaneer,Beer,Alcoholic,"Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently","Corona, Bacardi Limon"
613,"Rum Punch","Punch / Party Drink",Alcoholic,"Mix all ingredients in a punch bowl and serve.","Rum, Ginger ale, Fruit punch, Orange juice, Ice"
614,Algonquin,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Blended whiskey, Dry Vermouth, Pineapple juice"
615,"Rum Toddy","Ordinary Drink",Alcoholic,"Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.","Rum, Powdered sugar, Lemon peel, Water"
616,Autodafé,"Ordinary Drink",Alcoholic,"Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.","Vodka, Lime juice, Soda water"
617,"Lunch Box",Beer,Alcoholic,"Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.","Beer, Amaretto, Orange juice"
618,Greyhound,Cocktail,Alcoholic,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

","Vodka, Grapefruit Juice"
619,Gluehwein,"Punch / Party Drink","Optional alcohol","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.","Red wine, Water, Sugar, Cinnamon, Cloves, Lemon peel"
620,"Jam Donut",Shot,Alcoholic,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar"
621,Mauresque,Cocktail,Alcoholic,"1 - Pour the Ricard (or pastis)
2 - Pour the orgeat syrup
3 - Finally pour the water and add ice cubes at your convenience.

Add the ice cubes at the end, otherwise the syrup and pastis do not mix well.","Ricard, Orgeat Syrup, Water"
622,Barracuda,"Ordinary Drink",Alcoholic,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco"
623,"Old Cuban",Cocktail,Alcoholic,"Shake a handful of mint, 2oz white rum, 1oz of sugar syrup, 1oz lime juice and 2 dashes angostura bitters with ice. Double strain into a glass and top with 2oz of prosecco.","White Rum, Sugar Syrup, Lime Juice, Angostura Bitters, Prosecco"
624,Jitterbug,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water"
625,"Queen Bee","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Coffee brandy, Lime vodka, Sherry"
626,Vesper,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.","Gin, Vodka, Lillet Blanc"
627,Victor,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Sweet Vermouth, Brandy"
628,Avalon,"Ordinary Drink",Alcoholic,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade"
629,Vesuvio,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white"
630,Veteran,"Ordinary Drink",Alcoholic,"Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.","Dark rum, Cherry brandy"
